res,message
ham,"A/c *0109 debited Rs. 500.00 on 15-12-24 to JAYARAJ VISWANATHAN. UPI:435049295675. Not you? SMS BLOCK to 9231000001, Dial 1930 for Cyber Fraud - Indian Bank"
ham,I'm serious. You are in the money base
spam,Congratulations! You’ve been approved for a loan of $10000. Visit: http://loanlink.com.
spam,Your credit card has been charged. Please call 123-456-7890 to cancel.
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
spam,You have a limited-time offer of $250! Click here to claim: http://offerlink.com
spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
spam,"Dear customer, thank you for choosing Central Bank ofIndia as your preferred banker.For any information/support, Please contact our toll free no. 18003030 -CBoI"
spam,Your bank balance has been topped up with $500. Visit: http://bankupdate.com to confirm.
spam,You are eligible to win $2000! Call 800-555-1111 to confirm.
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
spam,Claim your $5000 reward by calling 123-456-7890 now.
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
spam,Congratulations! You've been selected to win a $1000 gift card. Click here: http://winfree.com
ham,He's just gonna worry for nothing. And he won't give you money its no use.
ham,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|
ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May"
ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc"
spam,Claim your $2000 prize! Call 0845-230-6572 to redeem. Don't miss out!
ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
spam,Ur balance is now Ã¥Â£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
spam,Dear User Good News! Your Wallet A/c is credited successfully with Rs. 15000 on 17-10-2024 Check now http://Kx7.in/LXFAST/hNKCMO Fast Loans
spam,You've won a $1000 cash prize! Call 0901-203040 to collect your prize.
spam,Your account balance is at risk. Please call 0871-564738 immediately.
ham,Hi..i got the money da:)
ham,"An amount of INR 2,700.00 has been DEBITED to your account XXX152 on 15/12/2024. Total Avail.bal INR 648.74.Dial 1930 to report cyber fraud - Canara Bank"
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
ham,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks."
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
spam,"Hi Bajaj Finance Loan Yojna Rs.1,00000-/ To Rs.25,00000-/ minimum Interests and maximum subsidy For more detail Call 9220759193 AGCBCA"
ham,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.
spam,Your mobile recharge has been successful! Top-up with $500 for bonus rewards.
spam,Your account has been credited with 500 FREE Text Messages. To activate just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
ham,There are no other charges after transfer charges and you can withdraw anyhow you like
ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
ham,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?"
spam,"Dear Jayaraj, Claim Your Rs.2500 Voucher with a HDFC Bank Credit Card in 3 steps Today: https://hdfcbk.io/HDFCBK/s/gAn3BBL2 T&C"
spam,Your bank account is under review. To verify your details visit: http://securebanking.com
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!
ham,Rs.1600.00 paid thru A/C XX7152 on 11-9-24 14:32:13 to GANESHKUMAR N P UPI Ref 425568655726. If not done SMS BLOCKUPI to 9901771222.-Canara Bank
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
spam,Click here for your free prize of $1000: http://freeprizes.com
ham,Dear XXXXXXXX0376 your passbook balance against PYKRP00234230000057076 is Rs. 4200/-. Contribution of Rs. 4200/- for due month Jul-24 has been received.
ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
ham,I sent your maga that money yesterday oh.
ham,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
spam,You’ve been selected for a $50000 cash prize. Call 0812-354-8787 now to claim.
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy
spam,Congratulations! You’ve won a free laptop! Visit http://freegift.com to claim.
spam,Congratulations! You’ve won a $1000 holiday voucher. To claim reply “WIN”.
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,"Rs.468.00 paid thru A/C XX7152 on 16-10-24 20:51:56 to Mr MOHANA KRISH, UPI Ref 429075140114. If not done, SMS BLOCKUPI to 9901771222.-Canara Bank"
ham,Can you do online transaction?
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
spam,"Your mobile account has been credited with 200 free minutes. Text ""REDEEM"" to activate."
ham,"Recharge Successful ! Plan Name : 799.0 Jio Number 7904685024. Entitlement:  Benefits: Unlimited Voice, Unlimited data - 126GB(1.5GB/Day), 100 SMS/Day & Subscription to Jio Apps. Validity - 84 Days Transaction ID: BR000BE0COID View plan details - https://www.jio.com/dl/my_plans Share your recent recharge experience with us - https://www.jio.com/en-in/jio-rech-exp-survey?custid=BR000BE0COID"
spam,"Congrats 79046XX, INR. 10,000 to INR. 2,00,000* loan is ready to be credited to your Bank A/c on 23-12-2024. Check Offer http://kx16.in/MOBIKW/9NaEhu -MobiKwik"
spam,Your account has been credited with 100 bonus points! Redeem now at: http://rewards.com
ham,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
spam,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
ham,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing."
spam,Money i have won wining number 946 wot do i do next
ham,Amt Sent Rs.900.00 From HDFC Bank A/C *5081 To ALAMELU R On 13-10 Ref 428758925523 Not You? Call 18002586161/SMS BLOCK UPI to 7308080808
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
spam,Ur HMV Quiz cash-balance is currently Ã¥Â£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
ham,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back."
ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
ham,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?"
